,Unit,Group.Name.Partner,Date.and.Time,Borough,LocationType,Location,Event.Name,Event.Type,Category,Classification,Audience,Attendance,pmam,time,lon,lat
0,Recreation,,01/08/2020 08:30:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Fitness Marathon,Agency Produced Event,Fitness,Fitness,Young Adult;#Adults;#Seniors;#Adaptive;#Teens,0,AM,2020-01-08 08:30:00,-74.00206469999999,40.74826849999999
1,Recreation,,01/08/2020 09:00:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Fitness Marathon,Local Event,Fitness,,Adults;#Teens;#Young Adult,139,AM,2020-01-08 09:00:00,-74.00206469999999,40.74826849999999
2,Urban Park Rangers,PS. 94,01/10/2020 09:30:00 AM,Brooklyn,School,PS 94,Career Day,Community Based Event,Nature,Lecture/Panel/Talk,Children,300,AM,2020-01-10 09:30:00,-73.8753985,40.88041399999999
3,Recreation,,01/10/2020 05:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Girls World Mother & Daughter Paint Night,Local Event,Arts/Culture,,Children;#Adults;#Teens;#General Public,24,PM,2020-01-10 17:00:00,-73.8651503,40.73234009999999
4,Recreation,,01/10/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Spin Challenge,Community Based Event,Fitness,Fitness,Adults;#Young Adult;#Seniors;#General Public,30,PM,2020-01-10 18:00:00,-73.9756582,40.7361601
5,Recreation,Shape Up NYC,01/11/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Shape Up Kick off,Agency Produced Event,Fitness,Fitness,General Public,50,AM,2020-01-11 11:00:00,-73.93419,40.842804
6,Urban Park Rangers,Alley Pond Environmental Center,01/11/2020 11:00:00 AM,Queens,Park,Alley Pond Park,Alley Pond Environmental Center Ribbon Cutting Ceremony,Community Based Event,Nature,,General Public,212,AM,2020-01-11 11:00:00,-73.73843409999999,40.74239470000001
7,Urban Park Rangers,Greenbelt,01/15/2020 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Agency Produced Event,Academic/Out of School time,,Children;#Adults;#Teens,30,PM,2020-01-15 18:00:00,-74.13916669999999,40.5884511
8,Recreation,Linc Literacy INC & P.S.116Q,01/16/2020 09:00:00 AM,Queens,Recreation Center,Detective Keith Williams,Literacy Building,Community Based Event,Performance,Play,Children,17,AM,2020-01-16 09:00:00,-73.7844531,40.7028871
9,Recreation,,01/17/2020 03:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Bingo Time!,Local Event,Arts/Culture,,Young Adult;#Adults;#Teens;#Seniors,15,PM,2020-01-17 15:00:00,-73.94085009999999,40.8465885
10,Recreation,,01/17/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Banksy,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Teens;#General Public;#Seniors,30,PM,2020-01-17 18:00:00,-73.9756582,40.7361601
11,Recreation,,01/17/2020 06:00:00 PM,Queens,Recreation Center,Vic Hansen Field House,Parent Meeting / Paint Night,Community Based Event,Arts/Culture,AC&F,Children;#Adults;#Young Adult;#Teens,34,PM,2020-01-17 18:00:00,,
12,Recreation,NY Presbyterian,01/18/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Agency Produced Event,Family Festival,Fitness,Young Adult;#Children;#Adults;#Teens;#Seniors;#Adaptive;#General Public,22,AM,2020-01-18 11:00:00,-73.93419,40.842804
13,Recreation,Build on,01/18/2020 12:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,MLK Service Day -Dreaming,Local Event,Academic/Out of School time,Play,Teens;#Adaptive;#Children;#General Public,75,PM,2020-01-19 00:00:00,-73.88909149999999,40.8149605
14,Urban Park Rangers,Greenbelt Nature Center,01/19/2020 11:00:00 AM,Staten Island,Nature Center,Greenbelt Nature Center,Winter Wilderness Skills,Local Event,Nature,,Children;#Young Adult;#Adults;#Teens,62,AM,2020-01-19 11:00:00,-74.13916669999999,40.5884511
15,Recreation,,01/20/2020 10:00:00 AM,Queens,Recreation Center,Lost Battalion Hall,Borough Spelling Bee,Tournament/Competition,Academic/Out of School time,Awards,Children,30,AM,2020-01-20 10:00:00,-73.8656455,40.7316758
16,Recreation,,01/20/2020 11:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Are you the Missing Piece? Jigsaw Puzzle Competition,Community Based Event,Academic/Out of School time,Play,Children,120,AM,2020-01-20 11:00:00,-73.8651503,40.73234009999999
17,Urban Park Rangers,Borough President's Office,01/26/2020 01:00:00 PM,Staten Island,School,Tottenville High School,Direct Connect,Local Event,Arts/Culture,,General Public,40,PM,2020-01-26 13:00:00,-74.1921115,40.5279412
18,Recreation,,01/28/2020 02:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Chinese New Year,Agency Produced Event,Arts/Culture,AC&F,Tot;#Young Adult;#Children;#Adults;#Teens;#General Public;#Seniors;#Adaptive,42,PM,2020-01-28 14:30:00,-73.965096,40.7564903
19,Recreation,,01/29/2020 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Betye Saar,Community Based Event,Arts/Culture,AC&F,General Public,18,PM,2020-01-29 18:00:00,-73.98870600000001,40.7712516
20,Recreation,,01/29/2020 06:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Round Robin Pickleball Tournament,Tournament/Competition,Sport,Tier 3,Young Adult;#Adults;#Seniors,20,PM,2020-01-29 18:30:00,-74.00543019999999,40.7296158
21,Recreation,,01/31/2020 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Line Dance,Community Based Event,Fitness,Fitness,Adults;#Seniors;#General Public;#Children,16,PM,2020-01-31 19:00:00,-73.942442,40.82430799999999
22,Urban Park Rangers,Parks Marketing and Special Events and Recreation,02/01/2020 11:00:00 AM,Manhattan,Park,Central Park,Winter Jam,Agency Produced Event,Sport,Play,Tot;#Children;#Young Adult;#Adults;#Teens,650,AM,2020-02-01 11:00:00,-73.9665138,40.7812199
23,Recreation,"PFP, MeKong",02/01/2020 12:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,Lunar New Year,Community Based Event,Arts/Culture,AC&F,General Public,100,PM,2020-02-02 00:00:00,-73.8988889,40.8644444
24,Urban Park Rangers,Staten Island Zoo,02/02/2020 06:00:00 AM,Staten Island,Park,Barrett Park,Groundhogs Day,Community Based Event,Nature,,General Public,110,AM,2020-02-02 06:00:00,,
25,Recreation,,02/03/2020 07:30:00 AM,Bronx,Recreation Center,St. James Recreation Center,Winter Open House Week,Open House,Fitness,Fitness,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,200,AM,2020-02-03 07:30:00,-73.8988889,40.8644444
26,Urban Park Rangers,Greenbelt Nature Center,02/04/2020 05:00:00 PM,Staten Island,School,P.S.54,Family Science Night,Agency Produced Event,Academic/Out of School time,,Children;#Adults,40,PM,2020-02-04 17:00:00,-74.1378314,40.6028087
